name,url,remote_support,adaptive_support,description,job_levels,languages,duration_minutes,test_type
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,"DSI v1.1 Interpretation Report Description DSI v1.1 Interpretation Report Languages Portuguese (Brazil), Dutch, Finnish, French, Latin American Spanish, Norwegian, Swedish, English (USA), English International, Chinese Simplified, Chinese Traditional, Danish, German, Icelandic, Italian, Russian, Test Type: P",,"['Portuguese (Brazil)', 'Dutch', 'Finnish', 'French', 'Latin American Spanish', 'Norwegian', 'Swedish', 'English (USA)', 'English International', 'Chinese Simplified', 'Chinese Traditional', 'Danish', 'German', 'Icelandic', 'Italian', 'Russian', '']",,['P']
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,Yes,No,"Econometrics (New) Description Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 11 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",11,['K']
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,Yes,No,,,,,[]
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,"Electrical and Electronics Engineering (New) Description Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 14 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",14,['K']
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,Yes,No,"Electrical Engineering (New) Description Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['K']
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,"Electronics & Telecommunications Engineering (New) Description Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 15 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",15,['K']
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,"Electronics and Embedded Systems Engineering (New) Description Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 18 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",18,['K']
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,"Electronics and Semiconductor Engineering (New) Description Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",7,['K']
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,Yes,No,"English Comprehension (New) Description Multiple-choice test that measures vocabulary, grammar and reading comprehension skills. Job levels Entry-Level, Languages English (USA), Assessment length Approximate Completion Time in minutes = 0 Test Type: K","['Entry-Level', '']","['English (USA)', '']",0,['K']
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,"Enterprise Java Beans (New) Description Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 4 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",4,['K']
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Yes,No,"Enterprise Leadership Report 1.0 Description Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ . Job levels Director, Executive, Manager, Mid-Professional, Test Type: P","['Director', 'Executive', 'Manager', 'Mid-Professional', '']",,,['P']
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,"Enterprise Leadership Report 2.0 Description Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ . Job levels Director, Executive, Manager, Mid-Professional, Test Type: P","['Director', 'Executive', 'Manager', 'Mid-Professional', '']",,,['P']
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,"Entry Level Cashier Solution Description The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Report Language Availability: English (USA) Job levels Entry-Level, Languages English (USA), English International, French (Canada), German, Italian, French, Dutch, Norwegian, Finnish, Swedish, Danish, Arabic, Chinese Simplified, Latin American Spanish, Assessment length Approximate Completion Time in minutes = 19 Test Type: C P","['Entry-Level', '']","['English (USA)', 'English International', 'French (Canada)', 'German', 'Italian', 'French', 'Dutch', 'Norwegian', 'Finnish', 'Swedish', 'Danish', 'Arabic', 'Chinese Simplified', 'Latin American Spanish', '']",19,"['C', 'P']"
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,"Entry Level Customer Serv-Retail & Contact Center Description The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. Report Language Availability: English (USA) Job levels Entry-Level, Languages Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic, English International, English (USA), French (Canada), Italian, Dutch, Norwegian, Finnish, Danish, Assessment length Approximate Completion Time in minutes = 19 Test Type: P C","['Entry-Level', '']","['Latin American Spanish', 'German', 'French', 'Chinese Simplified', 'Swedish', 'Arabic', 'English International', 'English (USA)', 'French (Canada)', 'Italian', 'Dutch', 'Norwegian', 'Finnish', 'Danish', '']",19,"['P', 'C']"
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,"Entry Level Customer Service (General) Solution Description The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with customers when carrying out critical tasks of the job. This includes positions that require frequent interactions with customers, or positions where customer service is not central to the role, but is still essential for successful performance on the job. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone to provide information; taking orders; solving product or service issues; and responding positively to difficult or irate customers. Report Language Availability: English (USA) Job levels Entry-Level, Languages English (USA), English International, French (Canada), Italian, Dutch, Norwegian, Finnish, Danish, Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic, Assessment length Approximate Completion Time in minutes = 14 Test Type: C P","['Entry-Level', '']","['English (USA)', 'English International', 'French (Canada)', 'Italian', 'Dutch', 'Norwegian', 'Finnish', 'Danish', 'Latin American Spanish', 'German', 'French', 'Chinese Simplified', 'Swedish', 'Arabic', '']",14,"['C', 'P']"
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,"Entry Level Hotel Front Desk Solution Description The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment. Report Language Availability: English (USA) Job levels Entry-Level, Languages French (Canada), Italian, French, Chinese Simplified, Swedish, Arabic, English (USA), English International, Latin American Spanish, German, Dutch, Norwegian, Finnish, Danish, Assessment length Approximate Completion Time in minutes = 20 Test Type: C P","['Entry-Level', '']","['French (Canada)', 'Italian', 'French', 'Chinese Simplified', 'Swedish', 'Arabic', 'English (USA)', 'English International', 'Latin American Spanish', 'German', 'Dutch', 'Norwegian', 'Finnish', 'Danish', '']",20,"['C', 'P']"
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,Yes,No,"Entry Level Sales Solution Description The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Report Language Availability: English (USA) Job levels Entry-Level, Languages German, Italian, Chinese Simplified, Finnish, Danish, English (USA), English International, Latin American Spanish, French (Canada), French, Dutch, Norwegian, Swedish, Arabic, Assessment length Approximate Completion Time in minutes = 20 Test Type: C P","['Entry-Level', '']","['German', 'Italian', 'Chinese Simplified', 'Finnish', 'Danish', 'English (USA)', 'English International', 'Latin American Spanish', 'French (Canada)', 'French', 'Dutch', 'Norwegian', 'Swedish', 'Arabic', '']",20,"['C', 'P']"
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,"Entry Level Technical Support Solution Description The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems. Report Language Availability: English (USA) Job levels Entry-Level, Languages Latin American Spanish, German, Chinese Simplified, Finnish, Danish, English (USA), English International, French (Canada), Italian, French, Dutch, Norwegian, Swedish, Arabic, Assessment length Approximate Completion Time in minutes = 18 Test Type: P C","['Entry-Level', '']","['Latin American Spanish', 'German', 'Chinese Simplified', 'Finnish', 'Danish', 'English (USA)', 'English International', 'French (Canada)', 'Italian', 'French', 'Dutch', 'Norwegian', 'Swedish', 'Arabic', '']",18,"['P', 'C']"
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,Yes,No,"ETL Testing (New) Description Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",9,['K']
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,Yes,No,"Executive Scenarios Description Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Executive Scenarios Narrative Report: A participant focused report that contains; - Executive Scenarios profile - VERY detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Development tips for each of the 6 style scales; Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support. Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades. Job levels Director, Executive, Manager, Languages Italian, English (USA), English International, Korean, Assessment length Approximate Completion Time in minutes = Untimed Test Type: B","['Director', 'Executive', 'Manager', '']","['Italian', 'English (USA)', 'English International', 'Korean', '']",Untimed,['B']
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,"Executive Scenarios Narrative Report Description Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Executive Scenarios Narrative Report: A participant focused report that contains; - Executive Scenarios profile - VERY detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Development tips for each of the 6 style scales; Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support. Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades. Job levels Director, Executive, Manager, Test Type: B","['Director', 'Executive', 'Manager', '']",,,['B']
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,"Executive Scenarios Profile Report Description Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Executive Scenarios Narrative Report: A participant focused report that contains; - Executive Scenarios profile - VERY detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Development tips for each of the 6 style scales; Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support. Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades. Job levels Director, Executive, Manager, Test Type: B","['Director', 'Executive', 'Manager', '']",,,['B']
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,Yes,No,"ExpressJS (New) Description Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",7,['K']
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,Yes,No,"Filing - Names (R1) Description This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab. Job levels Entry-Level, Languages English (USA), Assessment length Approximate Completion Time in minutes = 3 Test Type: K","['Entry-Level', '']","['English (USA)', '']",3,['K']
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,Yes,No,"Filing - Numbers Description This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab. Job levels Entry-Level, Languages English (USA), Assessment length Approximate Completion Time in minutes = 3 Test Type: K","['Entry-Level', '']","['English (USA)', '']",3,['K']
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,Yes,No,"Financial Accounting (New) Description Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios. Job levels Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K","['Entry-Level', 'Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor', '']","['English (USA)', '']",9,['K']
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,"Financial and Banking Services (New) Description Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics. Job levels Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K","['Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor', '']","['English (USA)', '']",9,['K']
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,Yes,No,"Fire Engineering (New) Description Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",10,['K']
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,"Following Instructions v1 - UK (R1) Description This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given. Job levels Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor, Languages English International, Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Entry-Level', 'Front Line Manager', 'Mid-Professional', 'Professional Individual Contributor', '']","['English International', '']",8,['K']
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,Yes,No,"Following Instructions v1 - US (R2) Description This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given. Job levels Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Entry-Level', 'Front Line Manager', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['K']
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,Yes,No,"Food and Beverage Services (New) Description Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages. Job levels Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K","['Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor', '']","['English (USA)', '']",7,['K']
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,Yes,No,"Food Science (New) Description Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",6,['K']
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,Yes,No,"Front Office Management (New) Description Multi-choice test that measures the knowledge of front office operations. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K","['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",7,['K']
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,"Fundamentals of Chemistry (New) Description Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['K']
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,"Fundamentals of Physics (New) Description Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['K']
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,Yes,No,"General Diseases (New) Description Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",5,['K']
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,"Geoinformatics Engineering (New) Description Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering. Job levels Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', 'Supervisor', 'Entry-Level', 'Graduate', '']","['English (USA)', '']",10,['K']
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,Yes,No,"Geoscience Engineering (New) Description Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying. Job levels Mid-Professional, Professional Individual Contributor, Graduate, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', 'Graduate', '']","['English (USA)', '']",8,['K']
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,Yes,No,"GIT (New) Description Multi-choice test that measures the knowledge of how to use GIT for version control. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",13,['K']
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,Yes,No,"Global Skills Assessment Description The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today. Languages Indonesian, Italian, Swedish, Thai, Portuguese (Brazil), French (Canada), Chinese Simplified, Danish, Finnish, French, German, English International, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Romanian, Spanish, Vietnamese, Chinese Traditional, Arabic, English (USA), Dutch, Portuguese, Turkish, Assessment length Approximate Completion Time in minutes = 16 Test Type: C K",,"['Indonesian', 'Italian', 'Swedish', 'Thai', 'Portuguese (Brazil)', 'French (Canada)', 'Chinese Simplified', 'Danish', 'Finnish', 'French', 'German', 'English International', 'Japanese', 'Korean', 'Latin American Spanish', 'Norwegian', 'Polish', 'Romanian', 'Spanish', 'Vietnamese', 'Chinese Traditional', 'Arabic', 'English (USA)', 'Dutch', 'Portuguese', 'Turkish', '']",16,"['C', 'K']"
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,Yes,No,"Graduate Scenarios Description Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Graduate Scenarios Narrative Report: A participant focused report that contains; - Graduate Scenarios profile - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades. Job levels Manager, Mid-Professional, Professional Individual Contributor, Graduate, Languages English International, Assessment length Approximate Completion Time in minutes = Untimed Test Type: B","['Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Graduate', '']","['English International', '']",Untimed,['B']
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,"Graduate Scenarios Narrative Report Description Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Graduate Scenarios Narrative Report: A participant focused report that contains; - Graduate Scenarios profile - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades. Job levels Mid-Professional, Professional Individual Contributor, Manager, Graduate, Test Type: B","['Mid-Professional', 'Professional Individual Contributor', 'Manager', 'Graduate', '']",,,['B']
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,"Graduate Scenarios Profile Report Description Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Graduate Scenarios Narrative Report: A participant focused report that contains; - Graduate Scenarios profile - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades. Job levels Graduate, Manager, Mid-Professional, Professional Individual Contributor, Test Type: B","['Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', '']",,,['B']
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,Yes,No,"Hibernate (New) Description Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL). Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",5,['K']
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,Yes,Yes,"HIPAA (Security) Description The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup. Job levels Front Line Manager, Manager, Languages English (USA), Assessment length Approximate Completion Time in minutes = 15 to 35 Test Type: K","['Front Line Manager', 'Manager', '']","['English (USA)', '']",15,['K']
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"HiPo Assessment Report 1.0 Description Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development. Test Type: C P",,,,"['C', 'P']"
